Rank,Channel Info,Influence Score,Followers,Avg. Likes,Posts,60-Day Eng Rate,New Post Avg. Likes,Total Likes,Country Or Region,Influencer Name,Username,Category,Avg Likes,Avg Comments,Engagement Rate (%),Country
249.0,vibes71593_life,100.0,1.5m,45.3k,1.3k,0.0302,52.4k,62.2m,Australia,,,,,,,
250.0,eco99216_hub,100.0,70.2m,1.3m,308,0.0192,957.1k,466.5m,Argentina,,,,,,,
251.0,urban40920_studio,100.0,8.9m,194k,3.4k,0.0219,123.3k,586.5m,Norway,,,,,,,
252.0,daily94658_mag,100.0,118.7k,13.7k,2.5k,0.1155,14.6k,39.1m,France,,,,,,,
253.0,moda7242_official,100.0,1.3m,27.2k,2.7k,0.0206,29.8k,76.2m,Brazil,,,,,,,
254.0,home76525_world,100.0,359.2k,14.7k,2.7k,0.0408,15.2k,35.8m,Italy,,,,,,,
255.0,fit77202_style,100.0,4.2m,180.8k,2.9k,0.0435,180.4k,548.5m,South Korea,,,,,,,
256.0,beauty99971_lab,100.0,6.1m,188.8k,2k,0.0307,180.5k,455.6m,Argentina,,,,,,,
257.0,style756_lab,100.0,70.6m,718.7k,388,0.0102,787.4k,276.5m,France,,,,,,,
258.0,music71131_studio,100.0,15.9m,309.7k,2k,0.0195,190.5k,555.1m,Tunisia,,,,,,,
259.0,urban64567_zone,100.0,2.0m,51.9k,1.8k,0.0259,57k,89.9m,Norway,,,,,,,
260.0,eco3472_official,100.0,1.0m,48.3k,3.7k,0.0468,47.9k,166.7m,Tunisia,,,,,,,
261.0,shop97336_zone,100.0,8.9m,280k,2.2k,0.0316,303.5k,577.6m,Brazil,,,,,,,
262.0,shop7509_mag,100.0,254.2k,30.3k,3.9k,0.1192,19.4k,104.0m,Brazil,,,,,,,
263.0,home44403_daily,100.0,1.7m,64.2k,993,0.0379,45.8k,71.2m,India,,,,,,,
264.0,trend69449_lab,100.0,51.7m,973.6k,1.1k,0.0188,844.8k,1.0b,Japan,,,,,,,
265.0,trend82589_zone,100.0,270.6k,31.8k,327,0.1177,32k,8.6m,Turkey,,,,,,,
266.0,vibes52797_zone,100.0,9.5m,345.1k,432,0.0363,386.2k,169.5m,Australia,,,,,,,
267.0,style14977_hub,100.0,466.3k,21k,390,0.045,15.4k,7.0m,Spain,,,,,,,
268.0,trend52072_vlog,100.0,426.7k,37.4k,354,0.0876,34.2k,12.8m,United States,,,,,,,
269.0,travel112_mag,100.0,207.2k,23.9k,859,0.1154,23k,24.5m,Japan,,,,,,,
270.0,music49267_world,100.0,468.5k,26.9k,2.2k,0.0573,17.1k,54.7m,Germany,,,,,,,
271.0,glam28700_life,100.0,5.3m,258.1k,2.2k,0.0485,192.2k,483.1m,Australia,,,,,,,
272.0,style67917_lab,100.0,443.5k,18.6k,3.4k,0.0419,13.8k,59.0m,Norway,,,,,,,
273.0,mind86763_studio,100.0,310.2k,16.6k,1.8k,0.0535,17.5k,28.7m,Egypt,,,,,,,
274.0,vibes42733_mag,100.0,53.2m,841.9k,2k,0.0158,553.3k,1.6b,Argentina,,,,,,,
275.0,glam33303_vlog,100.0,417.4k,33.7k,2.7k,0.0808,23.6k,103.2m,Argentina,,,,,,,
276.0,travel82754_official,100.0,30.5m,826.5k,767,0.0271,946.9k,620.5m,Germany,,,,,,,
277.0,shop51495_zone,100.0,1.2m,42.5k,3.4k,0.0359,34.7k,170.6m,Sweden,,,,,,,
278.0,moda98330_mag,100.0,2.9m,128.6k,3.1k,0.0448,113.4k,442.7m,Tunisia,,,,,,,
279.0,style64396_world,100.0,1.7m,96.7k,2.3k,0.056,97.5k,190.6m,Germany,,,,,,,
280.0,vibes10832_life,100.0,474k,38.6k,1.4k,0.0814,36k,44.4m,Mexico,,,,,,,
281.0,life77776_daily,100.0,319.4k,24.3k,2.5k,0.0761,24.3k,60.7m,Norway,,,,,,,
282.0,trend93441_zone,100.0,5.6m,274.3k,2.1k,0.0493,243.6k,501.5m,Germany,,,,,,,
283.0,glam24288_official,100.0,1.9m,100.8k,1.5k,0.0529,94.8k,148.9m,Australia,,,,,,,
284.0,eco4796_world,100.0,4.2m,238.3k,3.6k,0.0561,232.2k,925.4m,India,,,,,,,
285.0,tech50563_mag,100.0,278k,30.7k,3.2k,0.1104,31k,114.1m,France,,,,,,,
286.0,food73391_daily,100.0,59.1m,956.6k,3.6k,0.0162,805k,3.7b,United States,,,,,,,
287.0,urban95307_style,100.0,295.4k,20.3k,2.6k,0.0686,16k,55.7m,South Korea,,,,,,,
288.0,shop74622_world,100.0,1.6m,50.4k,699,0.0309,31.8k,29.3m,Turkey,,,,,,,
289.0,eco11835_hub,100.0,169k,18.5k,2.7k,0.1096,13.1k,48.3m,Japan,,,,,,,
290.0,mind32401_tv,100.0,1.3m,59.7k,1.1k,0.0466,41.9k,58.9m,Sweden,,,,,,,
291.0,glam64674_zone,100.0,474.9k,15.6k,1.2k,0.0327,15.8k,17.1m,Norway,,,,,,,
292.0,life91851_vlog,100.0,1.6m,38.5k,3.7k,0.0242,45.6k,161.2m,Mexico,,,,,,,
293.0,tech91160_vlog,100.0,149.9k,12.2k,2.6k,0.0816,14k,36.0m,Norway,,,,,,,
294.0,urban74206_lab,100.0,1.5m,73.2k,3.4k,0.0479,78.7k,293.6m,South Korea,,,,,,,
295.0,travel48797_life,100.0,7.3m,298.8k,1.1k,0.0408,264k,272.4m,South Korea,,,,,,,
296.0,mind42376_tv,100.0,454.5k,35.8k,2.8k,0.0788,23.5k,98.4m,Mexico,,,,,,,
297.0,shop98415_lab,100.0,1.1m,28k,1.9k,0.0248,23.9k,55.3m,Sweden,,,,,,,
298.0,life16819_style,100.0,121.1k,5.7k,2k,0.0471,6.4k,10.5m,Mexico,,,,,,,
299.0,beauty54492_hub,100.0,134k,13.5k,3k,0.1005,10.1k,40.5m,France,,,,,,,
300.0,city21052_mag,100.0,57.8m,471.3k,3.7k,0.0082,284.1k,1.9b,Argentina,,,,,,,
301.0,vibes33191_tv,100.0,9.9m,572.8k,2.5k,0.058,603.9k,1.4b,Turkey,,,,,,,
302.0,vibes50206_style,100.0,393.3k,34.5k,3.7k,0.0878,25.2k,145.0m,South Korea,,,,,,,
303.0,life61150_lab,100.0,664.3k,25.9k,475,0.0389,22.4k,10.0m,Netherlands,,,,,,,
304.0,vibes34288_studio,100.0,79.0m,1.4m,2.4k,0.0172,1.0m,3.7b,Australia,,,,,,,
305.0,life92623_world,100.0,176.4k,14.8k,2.8k,0.0838,14.8k,38.0m,Egypt,,,,,,,
306.0,shop51785_studio,100.0,401.6k,40.1k,4k,0.0998,43.2k,143.4m,France,,,,,,,
307.0,tech37937_daily,100.0,482k,19.5k,141,0.0405,15.7k,2.3m,United Kingdom,,,,,,,
308.0,music86997_lab,100.0,46.9m,1.2m,612,0.0254,1.0m,866.4m,Netherlands,,,,,,,
309.0,life39171_style,100.0,1.2m,34.7k,2.1k,0.0282,36k,81.5m,Spain,,,,,,,
310.0,food12892_zone,100.0,11.6m,303.5k,279,0.0261,261k,70.2m,United States,,,,,,,
311.0,life82419_studio,100.0,386.6k,43.2k,4k,0.1119,38.2k,201.7m,Tunisia,,,,,,,
312.0,urban82257_vlog,100.0,172.1k,13.7k,1.7k,0.0796,15.4k,19.3m,Netherlands,,,,,,,
313.0,food38195_hub,100.0,198.8k,13.2k,1.6k,0.0666,8.5k,24.1m,Norway,,,,,,,
314.0,travel87232_lab,100.0,65.0m,1.1m,2.1k,0.0162,911.9k,2.3b,France,,,,,,,
315.0,shop90500_style,100.0,7.0m,387k,876,0.0549,299.3k,351.1m,Egypt,,,,,,,
316.0,urban16798_official,100.0,38.2m,978.2k,3.6k,0.0256,1.1m,3.4b,United Kingdom,,,,,,,
317.0,vibes34668_daily,100.0,7.2m,431.8k,1.1k,0.0596,475.5k,518.4m,Brazil,,,,,,,
318.0,daily94174_life,100.0,1.0m,62.1k,968,0.0594,44.2k,67.9m,Mexico,,,,,,,
319.0,trend60193_zone,100.0,7.7m,306.2k,1.4k,0.0398,297.1k,458.8m,Netherlands,,,,,,,
320.0,urban32835_hub,100.0,692.7k,63.7k,1k,0.0919,59.5k,72.5m,Netherlands,,,,,,,
321.0,tech51314_zone,100.0,1.8m,51.9k,3.6k,0.0281,54.6k,163.6m,Sweden,,,,,,,
322.0,urban72857_studio,100.0,2.0m,85.2k,1.5k,0.0417,88.7k,143.3m,Tunisia,,,,,,,
323.0,home15390_tv,100.0,176.2k,10.9k,2.1k,0.0618,11.5k,24.3m,India,,,,,,,
324.0,life1167_life,100.0,758.7k,89k,741,0.1173,83.6k,66.2m,United Kingdom,,,,,,,
325.0,vibes94566_tv,100.0,443.4k,40.3k,1.1k,0.0909,40.9k,35.9m,Egypt,,,,,,,
326.0,city66603_daily,100.0,271.3k,16.6k,414,0.0611,10.4k,7.2m,United States,,,,,,,
327.0,official27674_daily,100.0,448.9k,34.9k,2.8k,0.0777,25k,97.7m,India,,,,,,,
328.0,fit98761_studio,100.0,6.2m,277.7k,2.3k,0.0448,198.5k,704.4m,Canada,,,,,,,
329.0,mind96144_vlog,100.0,4.0m,161.9k,871,0.0402,119k,166.2m,United States,,,,,,,
330.0,music76979_mag,100.0,887.4k,53.5k,2.9k,0.0602,41k,171.4m,Japan,,,,,,,
331.0,beauty11548_life,100.0,374k,29.3k,1.3k,0.0783,21.2k,36.5m,Mexico,,,,,,,
332.0,moda17601_lab,100.0,468.5k,28.6k,3.5k,0.061,24.7k,85.1m,Japan,,,,,,,
333.0,city74507_studio,100.0,54.6m,388.9k,1.7k,0.0071,348.7k,659.5m,Italy,,,,,,,
334.0,mind39816_official,100.0,231.8k,23.1k,86,0.0995,17k,2.1m,United Kingdom,,,,,,,
335.0,food83702_mag,100.0,48.0m,786.6k,3.1k,0.0164,885.1k,2.6b,Turkey,,,,,,,
336.0,home20995_zone,100.0,739.6k,76k,3.5k,0.1027,60.4k,248.3m,United States,,,,,,,
337.0,life59197_hub,100.0,206.8k,17.8k,946,0.0861,20.3k,18.4m,South Korea,,,,,,,
338.0,home42440_life,100.0,14.1m,378.2k,675,0.0269,315.5k,276.4m,Japan,,,,,,,
339.0,eco47578_daily,100.0,8.6m,331.4k,3.9k,0.0386,215.3k,1.3b,Spain,,,,,,,
340.0,city96318_official,100.0,1.2m,45.3k,303,0.0386,39.3k,11.8m,Tunisia,,,,,,,
341.0,travel8106_official,100.0,457.5k,26.1k,1.5k,0.0571,31.2k,39.3m,Argentina,,,,,,,
342.0,music20968_style,100.0,5.2m,193.6k,3.6k,0.0375,159.4k,755.3m,Australia,,,,,,,
343.0,vibes17675_vlog,100.0,144.9k,12.8k,3.8k,0.0882,10.5k,54.3m,Germany,,,,,,,
344.0,shop70327_lab,100.0,19.3m,457.4k,1k,0.0237,349.9k,437.4m,Brazil,,,,,,,
345.0,shop8129_mag,100.0,240.6k,23.5k,1.3k,0.0976,22.8k,31.4m,India,,,,,,,
346.0,eco56042_daily,100.0,447.9k,36.6k,3.2k,0.0817,27.3k,138.3m,Brazil,,,,,,,
347.0,mind85299_official,100.0,181.6k,8.7k,3.4k,0.0481,9.6k,28.4m,Turkey,,,,,,,
348.0,food58807_official,100.0,1.8m,43.8k,3.2k,0.0242,45.8k,156.3m,Tunisia,,,,,,,
349.0,official34812_zone,100.0,229.4k,15.3k,629,0.0669,12.6k,9.3m,Spain,,,,,,,
350.0,food30967_life,100.0,710.4k,26.8k,1k,0.0377,23.9k,32.6m,Tunisia,,,,,,,
351.0,style11037_hub,100.0,404k,31.3k,2.5k,0.0775,35.4k,81.5m,Brazil,,,,,,,
352.0,moda56998_mag,100.0,6.2m,214.6k,2.8k,0.0345,159.4k,721.5m,Egypt,,,,,,,
353.0,tech17418_vlog,100.0,7.5m,422.3k,2.2k,0.0564,316.9k,853.9m,India,,,,,,,
354.0,trend83240_tv,100.0,657.9k,57.5k,1.4k,0.0874,48k,87.7m,Argentina,,,,,,,
355.0,fit80599_life,100.0,8.7m,350.3k,2.8k,0.0403,321.6k,1.1b,Egypt,,,,,,,
356.0,trend1927_vlog,100.0,325.9k,18.3k,1.6k,0.0561,11.6k,34.6m,Mexico,,,,,,,
357.0,eco3876_tv,100.0,167.4k,9.6k,3.8k,0.0576,8.3k,29.1m,South Korea,,,,,,,
358.0,style84365_lab,100.0,3.0m,72.7k,1.8k,0.0242,43.7k,158.3m,India,,,,,,,
359.0,urban28375_official,100.0,25.3m,533.6k,540,0.0211,569.1k,288.4m,Germany,,,,,,,
360.0,shop85379_lab,100.0,78.3m,796.4k,2.9k,0.0102,934k,1.9b,Canada,,,,,,,
361.0,home16177_world,100.0,1.4m,31.4k,311,0.023,22.6k,10.2m,India,,,,,,,
362.0,life74921_studio,100.0,4.3m,145k,2.3k,0.0341,122.9k,372.0m,Tunisia,,,,,,,
363.0,official67490_mag,100.0,8.0m,250.3k,2.6k,0.0315,216k,716.8m,Argentina,,,,,,,
364.0,life19503_daily,100.0,1.0m,57.8k,821,0.0552,58.2k,55.9m,France,,,,,,,
365.0,moda57761_tv,100.0,235.9k,14.7k,2.9k,0.0621,12.4k,45.4m,Germany,,,,,,,
366.0,home82797_vlog,100.0,1.1m,34.5k,3k,0.0308,38.6k,94.9m,Sweden,,,,,,,
367.0,music54509_vlog,100.0,206.9k,12.4k,1.6k,0.0601,8.5k,18.4m,Netherlands,,,,,,,
368.0,city5390_studio,100.0,9.6m,247.3k,1.1k,0.0258,258k,284.4m,United States,,,,,,,
369.0,fit69311_studio,100.0,36.9m,374.4k,1.2k,0.0101,236k,535.2m,Norway,,,,,,,
370.0,glam65021_mag,100.0,649.8k,36k,3.5k,0.0553,24.4k,119.1m,Netherlands,,,,,,,
371.0,trend70528_life,100.0,2.9m,109.1k,837,0.0377,71.6k,102.1m,Norway,,,,,,,
372.0,urban99880_studio,100.0,1.2m,61.8k,3.4k,0.0513,52.8k,211.1m,Netherlands,,,,,,,
373.0,official85527_zone,100.0,46.1m,1.3m,1.7k,0.0276,1.4m,2.2b,Italy,,,,,,,
374.0,official47653_mag,100.0,394.6k,12.9k,2.7k,0.0327,11.1k,37.0m,Italy,,,,,,,
375.0,shop66935_tv,100.0,1.3m,31.4k,860,0.0235,35.7k,21.8m,Germany,,,,,,,
376.0,eco91679_life,100.0,220.8k,13.1k,1.2k,0.0595,8.4k,17.0m,United Kingdom,,,,,,,
377.0,style60978_lab,100.0,113.1k,3.5k,989,0.0312,3.4k,3.4m,Egypt,,,,,,,
378.0,mind91766_mag,100.0,70.5m,597.2k,739,0.0085,582k,484.8m,United Kingdom,,,,,,,
379.0,style32027_studio,100.0,7.9m,334.8k,2k,0.0424,343.4k,589.8m,Egypt,,,,,,,
380.0,style9569_zone,100.0,829.7k,36.8k,2.6k,0.0443,42k,114.1m,United States,,,,,,,
381.0,fit91696_world,100.0,165.2k,6.4k,1.9k,0.0386,6.4k,14.2m,Argentina,,,,,,,
382.0,city37743_tv,100.0,8.1m,349.1k,3.9k,0.043,295.2k,1.5b,Argentina,,,,,,,
383.0,daily30852_life,100.0,184.6k,15.9k,719,0.0863,18.7k,11.8m,Egypt,,,,,,,
384.0,shop82248_hub,100.0,1.1m,62.7k,258,0.0568,63.1k,14.3m,South Korea,,,,,,,
385.0,eco57513_mag,100.0,30.0m,632.6k,3.9k,0.0211,686.4k,2.9b,Turkey,,,,,,,
386.0,trend16403_world,100.0,6.1m,309.9k,3.8k,0.0509,353.7k,1.0b,Italy,,,,,,,
387.0,shop17219_daily,100.0,19.2m,248.8k,3.1k,0.013,230.2k,841.5m,Canada,,,,,,,
388.0,moda3832_mag,100.0,4.9m,255.8k,1.2k,0.0517,182.6k,269.4m,India,,,,,,,
389.0,music55184_lab,100.0,1.3m,67k,3.1k,0.052,76.9k,215.4m,Germany,,,,,,,
390.0,style66242_zone,100.0,1.5m,89.7k,2.9k,0.0589,71.9k,214.3m,Australia,,,,,,,
391.0,trend78991_daily,100.0,345.9k,40.6k,1.8k,0.1174,31.8k,77.8m,Canada,,,,,,,
392.0,eco1507_life,100.0,332.1k,31.4k,1.6k,0.0946,30.4k,54.0m,Italy,,,,,,,
393.0,shop17377_vlog,100.0,362.5k,22.7k,2.7k,0.0627,15.1k,56.6m,United States,,,,,,,
394.0,moda65363_vlog,100.0,3.3m,68.1k,3.6k,0.0205,78.8k,204.2m,Turkey,,,,,,,
395.0,beauty29766_style,100.0,71.5m,1.1m,235,0.016,707.3k,310.6m,Turkey,,,,,,,
396.0,city34784_zone,100.0,1.9m,69.1k,2.5k,0.0357,61.6k,145.8m,Norway,,,,,,,
397.0,city92644_life,100.0,986.6k,72.2k,679,0.0731,77k,57.9m,India,,,,,,,
398.0,food11953_world,100.0,1.6m,40k,391,0.0243,30.2k,13.6m,Netherlands,,,,,,,
399.0,vibes54250_hub,100.0,3.2m,156.7k,2.1k,0.0495,118.4k,338.4m,Australia,,,,,,,
400.0,eco38562_lab,100.0,4.8m,186.6k,268,0.0392,165.6k,56.0m,Turkey,,,,,,,
401.0,tech63047_zone,100.0,324.5k,25.7k,3.8k,0.0791,15.4k,105.0m,France,,,,,,,
402.0,city35530_lab,100.0,442.5k,23.3k,1.2k,0.0527,22.4k,30.7m,Spain,,,,,,,
403.0,trend58241_zone,100.0,263.2k,15.9k,102,0.0604,10.1k,1.5m,Egypt,,,,,,,
404.0,music31106_tv,100.0,9.1m,254.2k,290,0.0279,158.9k,78.3m,United States,,,,,,,
405.0,beauty67756_vlog,100.0,169.8k,19.8k,2.3k,0.1168,13.5k,52.1m,Italy,,,,,,,
406.0,city20072_mag,100.0,76.3m,626.9k,2.5k,0.0082,662k,1.5b,India,,,,,,,
407.0,style33418_lab,100.0,4.5m,114.3k,3.4k,0.0256,102.9k,406.7m,Sweden,,,,,,,
408.0,city50489_vlog,100.0,8.8m,524.9k,2.1k,0.0593,505.5k,1.2b,Italy,,,,,,,
409.0,fit33852_lab,100.0,7.9m,200.6k,2.5k,0.0254,150.2k,587.5m,France,,,,,,,
410.0,beauty99266_official,100.0,1.0m,54.5k,849,0.054,58.4k,54.2m,Netherlands,,,,,,,
411.0,city58765_official,100.0,1.8m,43.3k,3.4k,0.024,41.1k,163.1m,Argentina,,,,,,,
412.0,travel26995_style,100.0,7.6m,165.5k,2.7k,0.0219,122.2k,467.0m,France,,,,,,,
413.0,beauty12661_world,100.0,62.6m,432.1k,839,0.0069,448.8k,370.3m,Sweden,,,,,,,
414.0,shop56404_life,100.0,5.3m,114.4k,3.5k,0.0217,107.4k,350.1m,Egypt,,,,,,,
415.0,city51383_official,100.0,8.7m,195.3k,971,0.0225,180.5k,182.1m,Tunisia,,,,,,,
416.0,food34292_mag,100.0,100.5k,8.7k,1.9k,0.087,7.5k,13.5m,Argentina,,,,,,,
417.0,vibes41072_life,100.0,10.0m,265.7k,1.1k,0.0265,295.3k,312.9m,United States,,,,,,,
418.0,life30758_tv,100.0,27.7m,744.7k,1.6k,0.0269,661.1k,998.0m,Canada,,,,,,,
419.0,urban92645_tv,100.0,500k,21.2k,2.3k,0.0423,20.5k,49.2m,Mexico,,,,,,,
420.0,food40535_world,100.0,157.7k,18.7k,80,0.1188,18.3k,1.8m,India,,,,,,,
421.0,tech63779_vlog,100.0,4.9m,138.6k,1.1k,0.028,116k,127.8m,Brazil,,,,,,,
422.0,music66217_official,100.0,1.0m,38.2k,923,0.0378,26k,31.0m,France,,,,,,,
423.0,food71725_vlog,100.0,3.8m,123.8k,2.8k,0.0322,142.4k,371.2m,Italy,,,,,,,
424.0,trend54012_life,100.0,46.0m,891.5k,3.3k,0.0194,896.2k,2.9b,Spain,,,,,,,
425.0,beauty75474_daily,100.0,9.8m,218.1k,125,0.0222,247.7k,23.4m,Spain,,,,,,,
426.0,tech13126_tv,100.0,9.6m,194.3k,892,0.0203,217k,138.9m,Canada,,,,,,,
427.0,music35405_official,100.0,6.7m,144.6k,1.6k,0.0215,165.3k,256.1m,Turkey,,,,,,,
428.0,music40325_official,100.0,1.2m,49.8k,3k,0.0414,47.8k,144.9m,Japan,,,,,,,
429.0,beauty74845_studio,100.0,171k,9.3k,576,0.0543,9.1k,5.4m,Egypt,,,,,,,
430.0,urban22830_world,100.0,491.2k,31.7k,3.4k,0.0644,32.6k,90.9m,Sweden,,,,,,,
431.0,tech27556_hub,100.0,66.6m,788.6k,3.1k,0.0118,485.8k,2.0b,Brazil,,,,,,,
432.0,travel34257_hub,100.0,9.5m,557.7k,3.2k,0.0589,476.6k,1.9b,Norway,,,,,,,
433.0,moda4883_style,100.0,4.1m,117.4k,3.5k,0.0287,71.3k,409.3m,South Korea,,,,,,,
434.0,eco42377_zone,100.0,1.8m,106.3k,1.2k,0.06,108.1k,124.6m,Argentina,,,,,,,
435.0,travel6353_life,100.0,660.2k,61.5k,1.6k,0.0932,63.4k,106.9m,United States,,,,,,,
436.0,mind4599_hub,100.0,1.1m,41.6k,3.5k,0.0381,41.4k,173.5m,Italy,,,,,,,
437.0,city51339_vlog,100.0,6.8m,298.4k,3.3k,0.0437,191.1k,1.1b,Germany,,,,,,,
438.0,life90026_mag,100.0,145.3k,5.2k,2.5k,0.036,5.7k,11.8m,Norway,,,,,,,
439.0,vibes99302_tv,100.0,2.1m,68k,1.8k,0.0318,79.9k,126.1m,Germany,,,,,,,
440.0,home3662_hub,100.0,6.5m,177.2k,381,0.0273,180.7k,63.3m,Tunisia,,,,,,,
441.0,official85581_zone,100.0,1.8m,64.7k,307,0.0364,51.4k,16.3m,Egypt,,,,,,,
442.0,mind13031_zone,100.0,496.3k,31.7k,574,0.0639,37.5k,21.3m,India,,,,,,,
443.0,shop41339_studio,100.0,1.6m,92.1k,844,0.0561,84.6k,65.1m,Sweden,,,,,,,
444.0,life5692_world,100.0,3.5m,176.5k,160,0.0504,114.2k,33.2m,Italy,,,,,,,
445.0,eco56768_studio,100.0,4.8m,104.3k,2.4k,0.0219,91.2k,220.7m,Argentina,,,,,,,
446.0,glam34864_vlog,100.0,1.8m,83.1k,690,0.0453,60k,52.2m,Turkey,,,,,,,
447.0,cnn,100.0,18.0m,232.3k,2.5k,0.0129,251.2k,676.7m,Sweden,,,,,,,
448.0,glam77225_hub,100.0,727.2k,26.1k,2.8k,0.0359,31.2k,86.1m,Egypt,,,,,,,
449.0,elonmusk,100.0,70.0m,483.6k,3.8k,0.0069,544.4k,1.5b,Japan,,,,,,,
450.0,city79110_life,100.0,2.6m,141.8k,2.4k,0.0536,143.8k,337.5m,Australia,,,,,,,
451.0,travel36302_lab,100.0,8.8m,368.7k,2.9k,0.0421,234k,1.2b,India,,,,,,,
452.0,urban3081_hub,100.0,277.6k,11.9k,737,0.043,8.7k,10.1m,Sweden,,,,,,,
453.0,home53661_vlog,100.0,7.6m,418.9k,3.7k,0.0552,313.4k,1.4b,Sweden,,,,,,,
454.0,trend72513_daily,100.0,3.4m,186.2k,1.6k,0.0543,219.3k,237.2m,United Kingdom,,,,,,,
455.0,daily66852_daily,100.0,56.9m,471.5k,2.6k,0.0083,525.7k,1.1b,Germany,,,,,,,
456.0,mind52412_style,100.0,316.2k,36.7k,1.9k,0.1162,24.3k,80.2m,Australia,,,,,,,
457.0,official11643_tv,100.0,1.3m,52.9k,352,0.0402,57.7k,15.7m,Brazil,,,,,,,
458.0,life68795_zone,100.0,606.4k,40.1k,3.2k,0.0661,46.1k,106.9m,Netherlands,,,,,,,
459.0,oprah,100.0,25.0m,388.6k,2.5k,0.0155,342.4k,817.9m,Tunisia,,,,,,,
460.0,trend10010_lab,100.0,818k,56.4k,1.4k,0.0689,56.6k,63.4m,Tunisia,,,,,,,
461.0,food83725_zone,100.0,284.6k,30.5k,2.4k,0.1071,33.5k,77.5m,Canada,,,,,,,
462.0,glam48501_world,100.0,14.1m,238.1k,505,0.0169,254.6k,112.7m,Mexico,,,,,,,
463.0,home7870_official,100.0,1.8m,74.9k,2.1k,0.0427,62.7k,162.8m,Sweden,,,,,,,
464.0,beauty87381_tv,100.0,8.5m,305.7k,466,0.0359,188.1k,155.0m,Egypt,,,,,,,
465.0,music97066_life,100.0,43.0m,615.5k,2.1k,0.0143,407.6k,1.2b,Spain,,,,,,,
466.0,vibes93234_mag,100.0,389.5k,23.2k,3.3k,0.0596,23k,90.6m,Japan,,,,,,,
467.0,beauty40323_studio,100.0,30.5m,750.9k,2.1k,0.0246,716.4k,1.7b,Tunisia,,,,,,,
468.0,moda46843_style,100.0,887.5k,36.8k,3.7k,0.0415,28.9k,128.4m,Tunisia,,,,,,,
469.0,vibes80178_life,100.0,1.8m,53.4k,2.7k,0.0304,52.7k,119.8m,Japan,,,,,,,
470.0,trend80880_zone,100.0,394.9k,19k,1.4k,0.0481,22.2k,27.0m,Norway,,,,,,,
471.0,shop85835_mag,100.0,70.1m,738k,1.1k,0.0105,663.6k,938.2m,United States,,,,,,,
472.0,style86136_hub,100.0,1.8m,75.4k,528,0.0417,89.7k,39.2m,Mexico,,,,,,,
473.0,moda58554_hub,100.0,248.7k,10.1k,970,0.0406,8.2k,9.2m,Canada,,,,,,,
474.0,trend75684_daily,100.0,251.6k,12.5k,1.5k,0.0496,8.4k,15.4m,Turkey,,,,,,,
475.0,beauty86637_mag,100.0,465.2k,28.9k,494,0.0622,22.2k,14.7m,Italy,,,,,,,
476.0,tech73931_vlog,100.0,1.5m,48.4k,2k,0.0328,58k,84.9m,France,,,,,,,
477.0,home54706_style,100.0,9.1m,335.8k,1.2k,0.0368,337.8k,367.0m,Turkey,,,,,,,
478.0,life82392_life,100.0,288.4k,21.4k,3.5k,0.0742,23.7k,62.5m,Norway,,,,,,,
479.0,glam56424_official,100.0,305.4k,33.2k,3.9k,0.1086,35.1k,136.1m,Argentina,,,,,,,
480.0,glam29921_official,100.0,9.2m,500.2k,1.7k,0.0542,362.7k,767.8m,Japan,,,,,,,
481.0,style46021_studio,100.0,2.2m,119.6k,2.7k,0.0551,119.8k,326.7m,Norway,,,,,,,
482.0,daily74395_official,100.0,1.8m,86k,3.7k,0.0467,59.7k,300.5m,Turkey,,,,,,,
483.0,fit91598_hub,100.0,492.5k,40.6k,1.1k,0.0824,37.6k,37.3m,Brazil,,,,,,,
484.0,life71592_life,100.0,1.7m,85.6k,2.9k,0.0492,53.2k,239.0m,Italy,,,,,,,
485.0,home98503_lab,100.0,9.5m,474.8k,673,0.0499,479.2k,353.1m,Spain,,,,,,,
486.0,tech27745_style,100.0,455.9k,36.1k,2.1k,0.0791,34.8k,75.8m,Sweden,,,,,,,
487.0,daily562_hub,100.0,10.0m,238.1k,1.8k,0.0239,194.2k,414.4m,Mexico,,,,,,,
488.0,bts_official,100.0,40.0m,1.1m,1.7k,0.0283,729.5k,1.6b,Spain,,,,,,,
489.0,eco29186_vlog,100.0,5.1m,198.8k,2.5k,0.0387,121.2k,476.5m,Brazil,,,,,,,
490.0,urban98853_official,100.0,33.9m,839k,2.4k,0.0247,532.1k,2.1b,Spain,,,,,,,
491.0,tech19326_world,100.0,1.1m,50.3k,1.7k,0.0447,35.1k,103.5m,Mexico,,,,,,,
492.0,tech31288_official,100.0,72.1m,658.1k,1.2k,0.0091,744k,870.5m,Australia,,,,,,,
493.0,moda72614_daily,100.0,48.7m,1.2m,2.9k,0.0243,1.2m,3.6b,South Korea,,,,,,,
494.0,trend75088_daily,100.0,25.3m,724.1k,3.7k,0.0286,545.4k,2.4b,Mexico,,,,,,,
495.0,food25896_zone,100.0,1.3m,35.2k,398,0.0269,30.2k,13.5m,United States,,,,,,,
496.0,mind805_official,100.0,5.2m,229.3k,2.3k,0.0441,154.1k,514.0m,Argentina,,,,,,,
497.0,home24039_lab,100.0,476.2k,51.6k,474,0.1083,34.3k,23.6m,France,,,,,,,
498.0,beauty3056_life,100.0,1.0m,34.2k,3.8k,0.0327,40.5k,123.8m,Japan,,,,,,,
